correct,example_id,failure_reason,label,model_seed,oracle_substitution,prediction,split,stage,target,target_margin,template,unrestricted_correct,unrestricted_prediction
1,P2:validation:63,,modus_tollens:invalid,37,,61,validation,P2,61,27.233609199523926,mt_rule_direction,1,61
1,P2:validation:656,,contraposition:valid,37,,60,validation,P2,60,13.407061576843262,cp_consequent_polarity,1,60
1,P2:validation:121,,modus_tollens:invalid,37,,61,validation,P2,61,19.890283405780792,mt_fact_polarity,1,61
1,P2:validation:225,,contraposition:invalid,37,,61,validation,P2,61,21.359386682510376,cp_consequent_polarity,1,61
1,P2:validation:489,,contraposition:invalid,37,,61,validation,P2,61,18.21562671661377,cp_consequent_polarity,1,61
1,P2:validation:353,,modus_tollens:invalid,37,,61,validation,P2,61,25.511520385742188,mt_query_polarity,1,61
1,P2:validation:193,,modus_tollens:invalid,37,,61,validation,P2,61,26.013232707977295,mt_fact_polarity,1,61
1,P2:validation:593,,modus_tollens:invalid,37,,61,validation,P2,61,22.953230619430542,mt_query_polarity,1,61
1,P2:validation:546,,contraposition:valid,37,,60,validation,P2,60,13.904036521911621,cp_antecedent_polarity,1,60
1,P2:validation:180,,modus_tollens:valid,37,,60,validation,P2,60,9.793066024780273,mt_fact_polarity,1,60
1,P2:validation:669,,contraposition:invalid,37,,61,validation,P2,61,20.884114265441895,cp_consequent_polarity,1,61
1,P2:validation:528,,modus_tollens:valid,37,,60,validation,P2,60,9.793066024780273,mt_fact_polarity,1,60
1,P2:validation:111,,modus_tollens:invalid,37,,61,validation,P2,61,9.34043025970459,mt_rule_direction,1,61
1,P2:validation:766,,contraposition:valid,37,,60,validation,P2,60,23.825735092163086,cp_direction,1,60
1,P2:validation:95,,contraposition:invalid,37,,61,validation,P2,61,11.15925407409668,cp_direction,1,61
1,P2:validation:89,,modus_tollens:invalid,37,,61,validation,P2,61,25.63928508758545,mt_query_polarity,1,61
1,P2:validation:81,,contraposition:invalid,37,,61,validation,P2,61,22.213886976242065,cp_consequent_polarity,1,61
1,P2:validation:342,,contraposition:valid,37,,60,validation,P2,60,19.882866144180298,cp_antecedent_polarity,1,60
1,P2:validation:711,,modus_tollens:invalid,37,,61,validation,P2,61,13.918614864349365,mt_rule_direction,1,61
1,P2:validation:677,,modus_tollens:invalid,37,,61,validation,P2,61,19.493607759475708,mt_query_polarity,1,61
1,P2:validation:213,,contraposition:invalid,37,,61,validation,P2,61,14.27283525466919,cp_consequent_polarity,1,61
1,P2:validation:328,,modus_tollens:valid,37,,60,validation,P2,60,11.623063087463379,mt_query_polarity,1,60
