binary_correct,binary_margin,correct,example_id,label,model_seed,namespace,prediction,split,stage,target,template
1,25.718785226345062,1,P0:validation:285,negative,11,va,61,validation,P0,61,double_negation
1,8.351283073425293,1,P0:validation:436,positive,11,va,60,validation,P0,60,conjunction_elimination
1,13.723487854003906,1,P0:validation:466,positive,11,va,60,validation,P0,60,conjunction_elimination
1,15.717936038970947,1,P0:validation:69,negative,11,va,61,validation,P0,61,double_negation
1,6.576046943664551,1,P0:validation:434,positive,11,va,60,validation,P0,60,disjunction_introduction
1,9.979450225830078,1,P0:validation:79,negative,11,va,61,validation,P0,61,conjunction_elimination
1,18.51737689971924,1,P0:validation:222,positive,11,va,60,validation,P0,60,double_negation
1,1.8271160125732422,1,P0:validation:8,positive,11,va,60,validation,P0,60,disjunction_introduction
1,16.507648468017578,1,P0:validation:370,positive,11,va,60,validation,P0,60,conjunction_elimination
1,22.774945497512817,1,P0:validation:504,positive,11,va,60,validation,P0,60,double_negation
1,11.76252269744873,1,P0:validation:220,positive,11,va,60,validation,P0,60,conjunction_elimination
1,3.200333595275879,1,P0:validation:433,negative,11,va,61,validation,P0,61,conjunction_elimination
1,21.08337014913559,1,P0:validation:274,positive,11,va,60,validation,P0,60,conjunction_elimination
1,13.435650825500488,1,P0:validation:196,positive,11,va,60,validation,P0,60,conjunction_elimination
1,30.630149364471436,1,P0:validation:63,negative,11,va,61,validation,P0,61,double_negation
1,23.082217693328857,1,P0:validation:384,positive,11,va,60,validation,P0,60,double_negation
1,1.9504108428955078,1,P0:validation:139,negative,11,va,61,validation,P0,61,conjunction_elimination
1,7.963436126708984,1,P0:validation:310,positive,11,va,60,validation,P0,60,conjunction_elimination
1,9.547086715698242,1,P0:validation:172,positive,11,va,60,validation,P0,60,conjunction_elimination
1,17.862426280975342,1,P0:validation:49,negative,11,va,61,validation,P0,61,conjunction_elimination
1,23.082217693328857,1,P0:validation:414,positive,11,va,60,validation,P0,60,double_negation
1,10.327269554138184,1,P0:validation:12,positive,11,va,60,validation,P0,60,double_negation
1,6.451920509338379,1,P0:validation:230,positive,11,va,60,validation,P0,60,disjunction_introduction
1,20.73317277431488,1,P0:validation:52,positive,11,va,60,validation,P0,60,conjunction_elimination
1,23.082217693328857,1,P0:validation:0,positive,11,va,60,validation,P0,60,double_negation
1,20.729830741882324,1,P0:validation:100,positive,11,va,60,validation,P0,60,conjunction_elimination
1,4.653499603271484,1,P0:validation:446,positive,11,va,60,validation,P0,60,disjunction_introduction
1,13.527870178222656,1,P0:validation:421,negative,11,va,61,validation,P0,61,conjunction_elimination
1,29.265740394592285,1,P0:validation:423,negative,11,va,61,validation,P0,61,double_negation
1,2.4834861755371094,1,P0:validation:506,positive,11,va,60,validation,P0,60,disjunction_introduction
1,4.234912872314453,1,P0:validation:158,positive,11,va,60,validation,P0,60,disjunction_introduction
1,10.914111137390137,1,P0:validation:398,positive,11,va,60,validation,P0,60,disjunction_introduction
1,8.065340995788574,1,P0:validation:146,positive,11,va,60,validation,P0,60,disjunction_introduction
0,-3.986736297607422,0,P0:validation:291,negative,11,va,60,validation,P0,61,double_negation
1,17.184650897979736,1,P0:validation:107,negative,11,va,61,validation,P0,61,disjunction_introduction
1,7.6151275634765625,1,P0:validation:455,negative,11,va,61,validation,P0,61,disjunction_introduction
1,5.847860336303711,1,P0:validation:135,negative,11,va,61,validation,P0,61,double_negation
1,21.82609724998474,1,P0:validation:507,negative,11,va,61,validation,P0,61,double_negation
1,16.565863132476807,1,P0:validation:15,negative,11,va,61,validation,P0,61,double_negation
1,8.789253234863281,1,P0:validation:352,positive,11,va,60,validation,P0,60,conjunction_elimination
1,11.259181022644043,1,P0:validation:405,negative,11,va,61,validation,P0,61,double_negation
1,11.3577299118042,1,P0:validation:479,negative,11,va,61,validation,P0,61,disjunction_introduction
