binary_correct,binary_margin,correct,example_id,label,model_seed,namespace,prediction,split,stage,target,template
1,11.081166744232178,1,F0:validation:285,negative,11,va,61,validation,F0,61,predicate_mismatch
1,7.492611885070801,1,F0:validation:436,positive,11,va,60,validation,F0,60,identity
1,10.39337682723999,1,F0:validation:466,positive,11,va,60,validation,F0,60,identity
1,7.277649879455566,1,F0:validation:69,negative,11,va,61,validation,F0,61,predicate_mismatch
1,2.3104248046875,1,F0:validation:434,positive,11,va,60,validation,F0,60,identity
1,9.827139377593994,1,F0:validation:79,negative,11,va,61,validation,F0,61,constant_mismatch
1,5.112754821777344,1,F0:validation:222,positive,11,va,60,validation,F0,60,identity
1,10.679248809814453,1,F0:validation:8,positive,11,va,60,validation,F0,60,identity
1,6.761811256408691,1,F0:validation:370,positive,11,va,60,validation,F0,60,identity
1,6.331291198730469,1,F0:validation:504,positive,11,va,60,validation,F0,60,identity
1,5.112754821777344,1,F0:validation:220,positive,11,va,60,validation,F0,60,identity
1,12.535540580749512,1,F0:validation:433,negative,11,va,61,validation,F0,61,predicate_mismatch
1,6.761811256408691,1,F0:validation:274,positive,11,va,60,validation,F0,60,identity
1,7.551091194152832,1,F0:validation:196,positive,11,va,60,validation,F0,60,identity
1,8.262857437133789,1,F0:validation:63,negative,11,va,61,validation,F0,61,constant_mismatch
1,7.854260444641113,1,F0:validation:384,positive,11,va,60,validation,F0,60,identity
1,12.581326961517334,1,F0:validation:139,negative,11,va,61,validation,F0,61,constant_mismatch
1,7.635626792907715,1,F0:validation:310,positive,11,va,60,validation,F0,60,identity
1,6.595947265625,1,F0:validation:172,positive,11,va,60,validation,F0,60,identity
1,11.523335933685303,1,F0:validation:49,negative,11,va,61,validation,F0,61,predicate_mismatch
1,5.244672775268555,1,F0:validation:414,positive,11,va,60,validation,F0,60,identity
1,6.979428291320801,1,F0:validation:12,positive,11,va,60,validation,F0,60,identity
1,9.271812438964844,1,F0:validation:230,positive,11,va,60,validation,F0,60,identity
1,9.183645725250244,1,F0:validation:52,positive,11,va,60,validation,F0,60,identity
1,9.183645725250244,1,F0:validation:0,positive,11,va,60,validation,F0,60,identity
1,5.194757461547852,1,F0:validation:100,positive,11,va,60,validation,F0,60,identity
1,7.116070747375488,1,F0:validation:446,positive,11,va,60,validation,F0,60,identity
1,7.100255012512207,1,F0:validation:421,negative,11,va,61,validation,F0,61,predicate_mismatch
1,12.803437232971191,1,F0:validation:423,negative,11,va,61,validation,F0,61,constant_mismatch
1,7.943182945251465,1,F0:validation:506,positive,11,va,60,validation,F0,60,identity
1,8.024062156677246,1,F0:validation:158,positive,11,va,60,validation,F0,60,identity
1,5.886330604553223,1,F0:validation:398,positive,11,va,60,validation,F0,60,identity
1,7.485576629638672,1,F0:validation:146,positive,11,va,60,validation,F0,60,identity
1,9.91033935546875,1,F0:validation:291,negative,11,va,61,validation,F0,61,constant_mismatch
1,11.838988304138184,1,F0:validation:107,negative,11,va,61,validation,F0,61,constant_mismatch
1,13.114311933517456,1,F0:validation:455,negative,11,va,61,validation,F0,61,constant_mismatch
1,10.563437461853027,1,F0:validation:135,negative,11,va,61,validation,F0,61,constant_mismatch
1,10.348626136779785,1,F0:validation:507,negative,11,va,61,validation,F0,61,constant_mismatch
1,11.64034366607666,1,F0:validation:15,negative,11,va,61,validation,F0,61,constant_mismatch
1,10.679248809814453,1,F0:validation:352,positive,11,va,60,validation,F0,60,identity
1,9.562907218933105,1,F0:validation:405,negative,11,va,61,validation,F0,61,predicate_mismatch
1,11.915088176727295,1,F0:validation:479,negative,11,va,61,validation,F0,61,constant_mismatch
1,9.069235801696777,1,F0:validation:11,negative,11,va,61,validation,F0,61,constant_mismatch
