paper,required_or_conditional_experiment,requirement_class,instruction_sources,authoritative_artifact_or_commit,status,rationale
Paper0.1,Concrete task and information-validity framework,required,"AGENTS_paper0_1.md; AGENTS_paper0_1_revision_and_paper0_2_split.md",docs/papers/paper0_1/paper0_1.tex @ aeabb09,complete,"Concrete T1-T8 taxonomy and deterministic/probabilistic information-validity distinctions are integrated."
Paper0.1,Constructive fixed-weight micro-Transformer witnesses,required,"AGENTS_manual_micro_transformer_witnesses.md; AGENTS_paper0_1_revision_and_paper0_2_split.md",docs/papers/paper0_1/results/manual_witnesses/ @ 9a75157,complete,"Successor, pair lookup, two-hop grandparent, root recurrence, and unary-chain recurrence have exhaustive legal-domain artifacts; claims remain representability-only."
Paper0.1,Additional M2-M5 witness catalog,aspirational_optional,AGENTS_manual_micro_transformer_witnesses.md,docs/AGENTS_manual_micro_transformer_witnesses.md,optional-future,"The later revision explicitly centers the completed A1-A4 witnesses; the larger catalog is a future construction program rather than a mature-draft prerequisite."
Paper0.1,Compound-machine and probabilistic-task formalism,required,"AGENTS_paper0_1_compound_machine_patch.md; AGENTS_paper0_1_probabilistic_tasks_patch.md",docs/papers/paper0_1/paper0_1.tex @ aeabb09,complete,"Controller/tool algebra, reliability, Bayes/null competence, repeated execution, and correlated-error qualifications are integrated."
Paper0.2,Distributed heterogeneous-machine inception,required,"AGENTS_paper0_1_distributed_cognition_addon.md; AGENTS_paper0_1_revision_and_paper0_2_split.md; papers/paper0_2/AGENTS.md",docs/papers/paper0_2/paper0_2.tex @ b51fced,complete,"Material was split from Paper0.1 and includes graph/state/routing/reliability and claim discipline."
Paper0.5,E1-E6 atlas/component/motif/context/override/training suite,required,"AGENTS0_5.md; AGENTS_patch_paper_0_5_variance.md",docs/papers/paper0_5/results/manifest.json @ 04fa28c,complete,"Tracked atlas, causal component, motif-control, context-introduced, repair, and checkpoint artifacts support the original required suite."
Paper0.5,Three-part layer/window/head stability program,required,"AGENTS_0_5_3parts.md; AGENTS_paper0_5_experiment_2_5_sa_window_variance.md",docs/papers/paper0_5/results/three_parts/paper05_integrated_manifest.json @ 3241652,complete,"Layer stability, SA-window variance, and head-role results are integrated with earlier experiments preserved."
Paper0.5,Correctness/order/parameter controls and Dataset v2,required,"AGENTS_paper0_5_correctness_order_parameters.md; AGENTS_paper0_5_dataset_v2_and_pretrained_jacobian.md",docs/papers/paper0_5/results/dataset_v2_training/training_manifest.json @ f56d6f2,complete,"Leakage-audited controlled dataset, order metrics, trained comparisons, and Jacobian pilots are tracked."
Paper0.5,Nested-pattern bridge,required,AGENTS_paper0_5_nested_patterns_bridge.md,docs/papers/paper0_5/results/nested_patterns/nested_manifest.json @ c225019,complete,"Competence-gated nested-pattern artifacts and interpretation are tracked."
Paper0.5,Nested length-depth architecture sweep,conditional_after_smoke,AGENTS_paper0_5_nested_length_depth.md,docs/papers/paper0_5/results/nested_length_depth/nested_length_smoke_decision.json @ 571bd4c,gated-stop,"Prerequisite n>=4 cells failed; the recorded decision blocks the larger sweep."
Paper0.5,Functional-equivalence expansion and causal composition,required,"AGENTS_paper_0_5_equiv.md; AGENTS_paper_0_5_next_iter.md",docs/papers/paper0_5/results/next_iter/ @ 96a3e84,complete,"Family-conditioned replacement, syntax/semantic controls, subspaces, composition, training emergence, noise/evidence, and nulls are preserved in tracked next-iteration artifacts."
Paper0.5,Stress frontier and recurrent comparison,required,"AGENTS_paper0_5_stress_patch.md; AGENTS_paper0_5_final_experiments_and_editorial_review.md",docs/papers/paper0_5/results/stress_frontier/learned_v4_matched/ @ 1126e5d,complete,"Matched learned stress frontiers and recurrent comparison are integrated; no frontier is extrapolated."
Paper0.5,E7 persistent/online learner,optional_conditional,"AGENTS0_5.md; AGENTS_paper_0_5_next_iter.md",docs/papers/paper0_5/results/summary.md,gated-stop,"E7 is optional and explicitly stopped pending reproducible natural future utility."
Paper0.5,Final editorial and reviewer audits,required,"AGENTS_paper0_5_final_polish_and_reviewer_audit.md; papers/paper0_6/AGENTS_paper0_5_final_polish_and_reviewer_audit.md",docs/papers/paper0_5/paper_0_5_v2.pdf @ 85d469f,complete,"Claim, provenance, build, and visual audits were completed."
Paper0.6,Legacy hierarchy probe and shared variance correction,required,"AGENTS0_6.md; AGENTS_patch_paper_0_6_variance.md",docs/papers/paper0_6/results/manifest.json @ 04fa28c,complete,"Legacy geometry is retained as an undercompetent negative control rather than semantic-mechanism evidence."
Paper0.6,Semantic-equivalence and multiscale abstraction analyses,required,AGENTS_paper_0_6_equiv.md,docs/papers/paper0_6/results/tables/semantic_equivalence.csv @ c97bede,complete,"Nested equivalence, shared metrics, geometry/update controls, and the Paper0.5 comparison are tracked with competence qualifications."
Paper0.6,S1 taxonomic lookup competence/mechanism,required,AGENTS_paper0.6-dataset.md,docs/papers/paper0_6/results/v2/analysis_manifest.json @ c97bede,complete,"S1 passes the gate and its eligible geometry/update/head/replacement outputs are tracked."
Paper0.6,S2 relational category mechanism,conditional_on_competence,"AGENTS_paper0.6-dataset.md; AGENTS_paper0_6_predicate_semantics_phase_and_causality.md",docs/papers/paper0_6/results/v4/causal_manifest.json,gated-stop,"S2 held-out accuracy fails badly; all mechanism and Paper1 feature promotion remain blocked."
Paper0.6,S3 compositional abstraction and causal completion,required,"AGENTS_paper0.6-dataset.md; AGENTS_paper0_6_predicate_semantics_phase_and_causality.md",docs/papers/paper0_6/results/v4/causal_manifest.json @ d0f8240,complete,"Competent S3 behavior and competence-gated causal replacement/ablation are reported."
Paper0.6,Predicate semantics/deep-tree phase and causal diagnostics,required,AGENTS_paper0_6_predicate_semantics_phase_and_causality.md,docs/papers/paper0_6/results/v4/ @ d0f8240,complete,"Five predicates, train-shallow/test-deep behavior, local eligible-cell interventions, and blocked claims are recorded."
Paper0.6,Capacity training-budget control,required,AGENTS_paper0_6_capacity_frontier_next_iter.md,docs/papers/paper0_6/results/v5/capacity_analysis_manifest.json @ e7cca50,complete,"The registered 1x/2x diagnostic cells are complete; broad 4x expansion was correctly avoided."
Paper0.6,Independent D/d/b/N stress frontiers,required,AGENTS_paper0_6_stress_patch.md,docs/papers/paper0_6/results/v6/frontier_isancestor_cpu/stress_analysis_manifest.json @ f8b8f43,complete_with_scope_limit,"Three-seed measured isAncestor frontiers are complete, but d is explicitly a presentation/lookup frontier because of endpoint membership."
Paper0.6,Cue-free compositional ancestor/path frontier,required_followup,"AGENTS_paper0_6_capacity_frontier_next_iter.md; AGENTS_paper0_6_stress_patch.md",docs/papers/paper0_6/paper0_6_v5.tex:128,pending,"Current d frontier cannot answer the required composition question; remove endpoint-membership leakage before estimating composition or L_min(d)."
Paper0.6,Pretrained semantic appendix,optional,AGENTS_paper0.6-dataset.md,docs/papers/paper0_6/results/pretrained/,complete,"Appendix-only external-validity probe is retained without satisfying controlled semantic gates."
Paper0.7,Exact P0-P6/F0-F9 generators and phase plan,required,AGENTS_paper0_7.md,docs/papers/paper0_7/results/formal_v1/manifest.json,complete,"22,400-row exact dataset and planned cells validate infrastructure only."
Paper0.7,P0/F0 local gates,required,AGENTS_paper0_7.md,docs/papers/paper0_7/results/gates_v1/gate_manifest.json,complete,"Three-seed local identity/equality gates pass."
Paper0.7,P1/F1 acquisition gates,required,AGENTS_paper0_7.md,docs/papers/paper0_7/results/p1_f1_gate_v1/gate_manifest.json @ 13cf231,complete,"Three-seed one-step implication and atomic binding gates pass every template."
Paper0.7,P2/F2 next-stage gates,required,AGENTS_paper0_7.md,docs/papers/paper0_7/results/p2_f2_gate_v1/gate_manifest.json @ e94551f,gated-stop,"P2 passes but F2 fails seed stability; the preregistered ladder stops before P3/F3."
Paper0.7,P3-P6/F3-F9 frontiers and mechanism,conditional_on_prior_gates,"AGENTS_paper0_7.md; AGENTS_patch_paper_0_7_variance.md",docs/papers/paper0_7/results/p2_f2_gate_v1/gate_manifest.json,gated-stop,"Not required after F2 gate failure; mechanism is forbidden outside competent cells."
Paper0.7,Fuzzy type-sensitive dispatch,conditional_on_Paper0.6_semantic_gate,"AGENTS_paper_0_7.md; AGENTS_patch_paper_0_7_variance.md",docs/papers/paper0_7/results/eligibility_decision.json,gated-stop,"Behaviorally learned semantic type gate is not open; this remains a downstream application."
Paper0.8,D0-D4 contextual acquisition ladder and controls,required,AGENTS_0_8.md,docs/papers/paper0_8/results/phase/phase_manifest.json @ b5b6cce,complete,"Coarse sweep and exact controls are tracked; D4 positives are seed-sensitive."
Paper0.8,Contextual-copy calibration/tracing/causal tests,required,AGENTS_paper0_8_copy_calibration_and_D4_parallel_v2.md,docs/papers/paper0_8/results/copy/copy_trace_manifest.json @ 3aa9417,complete,"A competent local checkpoint has Q/K/V, value transport, ablation, and minimality evidence."
Paper0.8,Copy and D4 three-seed replication,required,AGENTS_paper0_8_copy_calibration_and_D4_parallel_v2.md,docs/papers/paper0_8/results/d4_replication/ @ 61fab9d,complete_gated-null,"No Pareto-small D4 cell or copy calibration passes the strict three-seed acquisition gate."
