accuracy,competent,examples,mean_target_margin,model_seed,split,stage,template
1.0,1,192,11.873383877178034,11,test,F1,canonical
1.0,1,192,11.911648767689863,11,test,F1,constant_distractor
1.0,1,192,12.028911526004473,11,test,F1,predicate_distractor
1.0,1,192,12.5773536923031,11,test,F1,reversed
1.0,1,192,11.727283072968325,11,validation,F1,canonical
1.0,1,192,12.03473593791326,11,validation,F1,constant_distractor
1.0,1,192,12.222395555426678,11,validation,F1,predicate_distractor
1.0,1,192,12.49828495706121,11,validation,F1,reversed
1.0,1,192,11.61187581717968,23,test,F1,canonical
1.0,1,192,10.892606188853582,23,test,F1,constant_distractor
1.0,1,192,11.755110112329325,23,test,F1,predicate_distractor
1.0,1,192,12.080448053777218,23,test,F1,reversed
1.0,1,192,11.642325198898712,23,validation,F1,canonical
1.0,1,192,10.863278257350126,23,validation,F1,constant_distractor
1.0,1,192,11.736791344980398,23,validation,F1,predicate_distractor
1.0,1,192,12.045387255648771,23,validation,F1,reversed
1.0,1,192,11.17189890642961,37,test,F1,canonical
1.0,1,192,12.088901074913641,37,test,F1,constant_distractor
1.0,1,192,11.457579165697098,37,test,F1,predicate_distractor
1.0,1,192,12.334690613051256,37,test,F1,reversed
1.0,1,192,11.201675478368998,37,validation,F1,canonical
1.0,1,192,12.004150696719686,37,validation,F1,constant_distractor
1.0,1,192,11.387516907105843,37,validation,F1,predicate_distractor
1.0,1,192,12.335032087440291,37,validation,F1,reversed
1.0,1,256,17.740805155830458,11,test,P1,consequent_match
1.0,1,256,18.8110988936387,11,test,P1,fact_match
1.0,1,256,18.76871900493279,11,test,P1,rule_lhs_match
1.0,1,256,18.673122889595106,11,validation,P1,consequent_match
1.0,1,256,18.76948802312836,11,validation,P1,fact_match
1.0,1,256,18.77975898142904,11,validation,P1,rule_lhs_match
0.98046875,1,256,11.007224912755191,23,test,P1,consequent_match
0.984375,1,256,13.958549311384559,23,test,P1,fact_match
0.98046875,1,256,13.856776280328631,23,test,P1,rule_lhs_match
0.96484375,1,256,11.329436460975558,23,validation,P1,consequent_match
0.984375,1,256,14.025466171093285,23,validation,P1,fact_match
0.99609375,1,256,14.541705448180437,23,validation,P1,rule_lhs_match
1.0,1,256,12.997111951932311,37,test,P1,consequent_match
1.0,1,256,14.60472154384479,37,test,P1,fact_match
1.0,1,256,14.602948461077176,37,test,P1,rule_lhs_match
1.0,1,256,13.061896485975012,37,validation,P1,consequent_match
1.0,1,256,14.661376977688633,37,validation,P1,fact_match
1.0,1,256,14.661725665209815,37,validation,P1,rule_lhs_match
