condition,correct,example_id,margin,prediction,rank,seed,target
entailed,0,0,-2.945704460144043,6,7,11,94
fact_mismatch,1,1,15.027174949645996,6,1,11,6
rule_lhs_mismatch,1,2,17.103214263916016,6,1,11,6
consequent_swap,0,3,-0.057824134826660156,6,2,11,80
entailed,1,4,2.810586929321289,82,1,11,82
fact_mismatch,1,5,12.997725486755371,6,1,11,6
rule_lhs_mismatch,1,6,13.205974578857422,6,1,11,6
consequent_swap,1,7,1.9121780395507812,82,1,11,82
entailed,0,8,-12.407537460327148,39,68,11,102
fact_mismatch,1,9,10.919751167297363,6,1,11,6
rule_lhs_mismatch,1,10,14.165840148925781,6,1,11,6
consequent_swap,0,11,-7.476631164550781,6,44,11,74
entailed,0,12,-11.617096900939941,52,65,11,75
fact_mismatch,1,13,14.431344032287598,6,1,11,6
rule_lhs_mismatch,1,14,15.3436279296875,6,1,11,6
consequent_swap,0,15,-9.433403968811035,36,37,11,71
entailed,0,16,-11.831188201904297,6,66,11,75
fact_mismatch,1,17,17.182785034179688,6,1,11,6
rule_lhs_mismatch,1,18,15.121805191040039,6,1,11,6
consequent_swap,0,19,-6.987396717071533,35,22,11,86
entailed,1,20,1.637664794921875,99,1,11,99
fact_mismatch,1,21,15.968208312988281,6,1,11,6
rule_lhs_mismatch,1,22,17.03801727294922,6,1,11,6
consequent_swap,0,23,-2.054804801940918,36,3,11,93
entailed,0,24,-6.275272369384766,6,21,11,96
fact_mismatch,1,25,10.821553230285645,6,1,11,6
rule_lhs_mismatch,1,26,9.721330642700195,6,1,11,6
consequent_swap,0,27,-23.97480010986328,6,25,11,78
entailed,0,28,-7.56247615814209,6,15,11,97
fact_mismatch,1,29,13.769370079040527,6,1,11,6
rule_lhs_mismatch,1,30,15.307846069335938,6,1,11,6
consequent_swap,0,31,-24.13473892211914,6,22,11,94
entailed,0,32,-25.889253616333008,6,31,11,76
fact_mismatch,1,33,16.35909652709961,6,1,11,6
rule_lhs_mismatch,1,34,15.714360237121582,6,1,11,6
consequent_swap,0,35,-10.006135940551758,6,60,11,89
entailed,0,36,-14.730598449707031,6,65,11,87
fact_mismatch,1,37,14.093613624572754,6,1,11,6
rule_lhs_mismatch,1,38,11.884100914001465,6,1,11,6
consequent_swap,0,39,-9.724205017089844,6,36,11,72
entailed,0,40,-38.77766036987305,6,92,11,74
fact_mismatch,1,41,13.829829216003418,6,1,11,6
rule_lhs_mismatch,1,42,16.996694564819336,6,1,11,6
consequent_swap,0,43,-5.913599014282227,37,16,11,92
entailed,0,44,-6.08217716217041,39,18,11,97
fact_mismatch,1,45,15.803874969482422,6,1,11,6
rule_lhs_mismatch,1,46,13.276558876037598,6,1,11,6
consequent_swap,0,47,-34.09989547729492,6,85,11,102
entailed,0,48,-12.341487884521484,6,47,11,72
fact_mismatch,1,49,12.797975540161133,6,1,11,6
rule_lhs_mismatch,1,50,13.082404136657715,6,1,11,6
consequent_swap,0,51,-6.558680534362793,35,18,11,86
entailed,0,52,-8.630182266235352,6,40,11,74
fact_mismatch,1,53,15.496156692504883,6,1,11,6
rule_lhs_mismatch,1,54,13.328527450561523,6,1,11,6
consequent_swap,0,55,-0.04798316955566406,6,2,11,88
entailed,0,56,-22.588672637939453,6,24,11,82
fact_mismatch,1,57,14.86075210571289,6,1,11,6
rule_lhs_mismatch,1,58,13.87220573425293,6,1,11,6
consequent_swap,0,59,-0.8704910278320312,6,2,11,73
entailed,0,60,-11.52253532409668,39,57,11,102
fact_mismatch,1,61,7.008517265319824,6,1,11,6
rule_lhs_mismatch,1,62,16.003829956054688,6,1,11,6
consequent_swap,0,63,-29.358705520629883,6,68,11,79
entailed,0,64,-13.432331085205078,6,76,11,84
fact_mismatch,1,65,12.517663955688477,6,1,11,6
rule_lhs_mismatch,1,66,14.788253784179688,6,1,11,6
consequent_swap,0,67,-9.67791748046875,6,53,11,74
entailed,0,68,-32.61475372314453,6,71,11,79
fact_mismatch,1,69,14.141642570495605,6,1,11,6
rule_lhs_mismatch,1,70,16.60038185119629,6,1,11,6
consequent_swap,0,71,-2.7140731811523438,14,5,11,81
entailed,0,72,-11.31251049041748,6,63,11,98
fact_mismatch,1,73,13.363846778869629,6,1,11,6
rule_lhs_mismatch,1,74,6.571361541748047,6,1,11,6
consequent_swap,0,75,-11.922052383422852,6,46,11,95
entailed,0,76,-6.201840877532959,40,26,11,95
fact_mismatch,1,77,13.458993911743164,6,1,11,6
rule_lhs_mismatch,1,78,14.056866645812988,6,1,11,6
consequent_swap,0,79,-8.11217975616455,6,31,11,96
entailed,0,80,-0.8506488800048828,70,3,11,76
fact_mismatch,1,81,14.436455726623535,6,1,11,6
rule_lhs_mismatch,1,82,16.084938049316406,6,1,11,6
consequent_swap,0,83,-12.590904235839844,6,38,11,72
entailed,0,84,-3.6805248260498047,6,5,11,78
fact_mismatch,1,85,13.97575569152832,6,1,11,6
rule_lhs_mismatch,1,86,15.137314796447754,6,1,11,6
consequent_swap,0,87,-7.441596031188965,6,37,11,95
entailed,0,88,-14.4583158493042,6,70,11,89
fact_mismatch,1,89,12.817426681518555,6,1,11,6
rule_lhs_mismatch,1,90,15.39322280883789,6,1,11,6
consequent_swap,0,91,-4.051552772521973,6,14,11,83
entailed,0,92,-11.946414947509766,6,68,11,98
fact_mismatch,1,93,15.420391082763672,6,1,11,6
rule_lhs_mismatch,1,94,14.688163757324219,6,1,11,6
consequent_swap,0,95,-22.573890686035156,6,55,11,93
entailed,0,96,-13.065790176391602,6,16,11,97
fact_mismatch,1,97,14.610872268676758,6,1,11,6
rule_lhs_mismatch,1,98,18.619129180908203,6,1,11,6
consequent_swap,0,99,-32.26826858520508,6,74,11,101
entailed,1,100,0.15418338775634766,100,1,11,100
fact_mismatch,1,101,14.756138801574707,6,1,11,6
rule_lhs_mismatch,1,102,13.719196319580078,6,1,11,6
consequent_swap,0,103,-2.3539724349975586,36,3,11,93
entailed,0,104,-9.927310943603516,6,33,11,91
fact_mismatch,1,105,16.649944305419922,6,1,11,6
rule_lhs_mismatch,1,106,9.953271865844727,6,1,11,6
consequent_swap,0,107,-2.2003097534179688,14,5,11,81
entailed,0,108,-29.92723846435547,6,70,11,91
fact_mismatch,1,109,15.111705780029297,6,1,11,6
rule_lhs_mismatch,1,110,16.464954376220703,6,1,11,6
consequent_swap,0,111,-12.486221313476562,6,69,11,89
entailed,0,112,-26.592235565185547,6,47,11,86
fact_mismatch,1,113,14.38868236541748,6,1,11,6
rule_lhs_mismatch,1,114,14.087068557739258,6,1,11,6
consequent_swap,0,115,-6.028594493865967,6,32,11,95
entailed,0,116,-18.456050872802734,6,92,11,85
fact_mismatch,1,117,13.544864654541016,6,1,11,6
rule_lhs_mismatch,1,118,15.973258972167969,6,1,11,6
consequent_swap,0,119,-11.922052383422852,6,46,11,95
entailed,0,120,-2.1431870460510254,6,3,11,76
fact_mismatch,1,121,14.884567260742188,6,1,11,6
rule_lhs_mismatch,1,122,13.39923095703125,6,1,11,6
consequent_swap,0,123,-7.3581929206848145,6,21,11,92
entailed,1,124,1.7620658874511719,82,1,11,82
fact_mismatch,1,125,13.855772972106934,6,1,11,6
rule_lhs_mismatch,1,126,18.151294708251953,6,1,11,6
consequent_swap,0,127,-28.53774642944336,6,75,11,92
entailed,0,128,-9.631746292114258,6,34,11,72
fact_mismatch,1,129,14.590818405151367,6,1,11,6
rule_lhs_mismatch,1,130,13.086100578308105,6,1,11,6
consequent_swap,0,131,-19.857498168945312,6,93,11,85
entailed,0,132,-12.580718040466309,6,71,11,84
fact_mismatch,1,133,15.316692352294922,6,1,11,6
rule_lhs_mismatch,1,134,14.90677547454834,6,1,11,6
consequent_swap,0,135,-35.071922302246094,6,77,11,87
entailed,0,136,-0.6451616287231445,47,3,11,100
fact_mismatch,1,137,16.056365966796875,6,1,11,6
rule_lhs_mismatch,1,138,10.210556030273438,6,1,11,6
consequent_swap,0,139,-17.6292781829834,6,72,11,87
entailed,0,140,-13.432331085205078,6,76,11,84
fact_mismatch,1,141,12.2677001953125,6,1,11,6
rule_lhs_mismatch,1,142,13.470827102661133,6,1,11,6
consequent_swap,0,143,-20.838157653808594,6,94,11,85
entailed,0,144,-4.846563339233398,6,17,11,83
fact_mismatch,1,145,13.262909889221191,6,1,11,6
rule_lhs_mismatch,1,146,11.21752643585205,6,1,11,6
consequent_swap,0,147,-15.476601600646973,6,4,11,88
entailed,0,148,-12.119525909423828,6,73,11,90
fact_mismatch,1,149,12.784472465515137,6,1,11,6
rule_lhs_mismatch,1,150,12.197669982910156,6,1,11,6
consequent_swap,0,151,-8.54525089263916,6,43,11,79
entailed,0,152,-4.794365406036377,6,16,11,83
fact_mismatch,1,153,12.924367904663086,6,1,11,6
rule_lhs_mismatch,1,154,13.499794006347656,6,1,11,6
consequent_swap,0,155,-23.646831512451172,6,52,11,80
entailed,0,156,-19.022958755493164,6,94,11,85
fact_mismatch,1,157,17.325401306152344,6,1,11,6
rule_lhs_mismatch,1,158,17.809173583984375,6,1,11,6
consequent_swap,0,159,-6.012917518615723,6,16,11,92
entailed,0,160,-7.441596031188965,6,37,11,95
fact_mismatch,1,161,14.821826934814453,6,1,11,6
rule_lhs_mismatch,1,162,15.576210975646973,6,1,11,6
consequent_swap,0,163,-15.698701858520508,6,84,11,84
entailed,0,164,-11.831188201904297,6,66,11,75
fact_mismatch,1,165,13.878090858459473,6,1,11,6
rule_lhs_mismatch,1,166,13.872854232788086,6,1,11,6
consequent_swap,1,167,1.2470312118530273,73,1,11,73
entailed,0,168,-8.450486183166504,6,44,11,74
fact_mismatch,1,169,14.560518264770508,6,1,11,6
rule_lhs_mismatch,1,170,13.649860382080078,6,1,11,6
consequent_swap,0,171,-12.727283477783203,6,28,11,86
entailed,1,172,0.02204608917236328,73,1,11,73
fact_mismatch,1,173,14.028257369995117,6,1,11,6
rule_lhs_mismatch,1,174,13.22162914276123,6,1,11,6
consequent_swap,0,175,-12.541683197021484,6,66,11,102
entailed,0,176,-29.07160186767578,6,53,11,100
fact_mismatch,1,177,12.391215324401855,6,1,11,6
rule_lhs_mismatch,1,178,14.186986923217773,6,1,11,6
consequent_swap,0,179,-27.218538284301758,6,48,11,101
entailed,0,180,-11.875092506408691,36,73,11,90
fact_mismatch,1,181,14.557872772216797,6,1,11,6
rule_lhs_mismatch,1,182,13.45553970336914,6,1,11,6
consequent_swap,0,183,-5.600488185882568,42,11,11,77
entailed,0,184,-6.049444675445557,6,27,11,96
fact_mismatch,1,185,13.45129680633545,6,1,11,6
rule_lhs_mismatch,1,186,17.038747787475586,6,1,11,6
consequent_swap,0,187,-20.838157653808594,6,94,11,85
entailed,0,188,-25.343441009521484,6,24,11,77
fact_mismatch,1,189,13.30183219909668,6,1,11,6
rule_lhs_mismatch,1,190,8.530021667480469,6,1,11,6
consequent_swap,1,191,2.4865379333496094,82,1,11,82
entailed,0,192,-14.849203109741211,6,19,11,97
fact_mismatch,1,193,17.52395248413086,6,1,11,6
rule_lhs_mismatch,1,194,16.966697692871094,6,1,11,6
consequent_swap,0,195,-8.64650821685791,6,22,11,86
entailed,0,196,-23.071622848510742,6,47,11,91
fact_mismatch,1,197,14.153703689575195,6,1,11,6
rule_lhs_mismatch,1,198,13.506271362304688,6,1,11,6
consequent_swap,1,199,0.14249229431152344,88,1,11,88
entailed,0,200,-26.147159576416016,6,43,11,100
fact_mismatch,1,201,16.68699836730957,6,1,11,6
rule_lhs_mismatch,1,202,13.066834449768066,6,1,11,6
consequent_swap,0,203,-12.852105140686035,6,72,11,84
entailed,0,204,-3.648827075958252,6,8,11,94
fact_mismatch,1,205,13.96920394897461,6,1,11,6
rule_lhs_mismatch,1,206,13.912227630615234,6,1,11,6
consequent_swap,0,207,-7.608332633972168,6,37,11,95
entailed,0,208,-22.699440002441406,6,74,11,87
fact_mismatch,1,209,15.11553955078125,6,1,11,6
rule_lhs_mismatch,1,210,15.999675750732422,6,1,11,6
consequent_swap,0,211,-18.902206420898438,6,75,11,102
entailed,0,212,-5.586637020111084,6,24,11,96
fact_mismatch,1,213,15.42154312133789,6,1,11,6
rule_lhs_mismatch,1,214,15.340346336364746,6,1,11,6
consequent_swap,0,215,-20.200368881225586,6,97,11,85
entailed,0,216,-25.847858428955078,6,42,11,97
fact_mismatch,1,217,14.78144645690918,6,1,11,6
rule_lhs_mismatch,1,218,14.152305603027344,6,1,11,6
consequent_swap,0,219,-23.930137634277344,6,35,11,76
entailed,0,220,-11.755428314208984,6,45,11,83
fact_mismatch,1,221,13.633898735046387,6,1,11,6
rule_lhs_mismatch,0,222,-0.08673954010009766,80,2,11,6
consequent_swap,0,223,-35.884742736816406,6,94,11,83
entailed,0,224,-18.620849609375,6,60,11,79
fact_mismatch,1,225,17.50621795654297,6,1,11,6
rule_lhs_mismatch,1,226,14.439437866210938,6,1,11,6
consequent_swap,0,227,-13.048198699951172,6,16,11,97
entailed,0,228,-11.383007049560547,6,66,11,75
fact_mismatch,1,229,13.960006713867188,6,1,11,6
rule_lhs_mismatch,1,230,15.825342178344727,6,1,11,6
consequent_swap,0,231,-31.523902893066406,6,68,11,93
entailed,0,232,-5.487635135650635,6,13,11,77
fact_mismatch,1,233,16.6035099029541,6,1,11,6
rule_lhs_mismatch,1,234,13.554594039916992,6,1,11,6
consequent_swap,0,235,-13.474142074584961,6,75,11,90
entailed,0,236,-17.146350860595703,6,73,11,98
fact_mismatch,1,237,15.83059310913086,6,1,11,6
rule_lhs_mismatch,1,238,13.701061248779297,6,1,11,6
consequent_swap,0,239,-9.345770835876465,6,6,11,101
entailed,0,240,-18.620849609375,6,60,11,79
fact_mismatch,1,241,14.581536293029785,6,1,11,6
rule_lhs_mismatch,1,242,13.661794662475586,6,1,11,6
consequent_swap,0,243,-0.5542154312133789,6,2,11,88
entailed,0,244,-2.707512378692627,6,8,11,94
fact_mismatch,1,245,15.073878288269043,6,1,11,6
rule_lhs_mismatch,1,246,13.186431884765625,6,1,11,6
consequent_swap,0,247,-20.036884307861328,6,63,11,79
entailed,1,248,0.39740753173828125,73,1,11,73
fact_mismatch,1,249,15.891483306884766,6,1,11,6
rule_lhs_mismatch,1,250,11.678831100463867,6,1,11,6
consequent_swap,0,251,-6.222068786621094,6,2,11,82
entailed,0,252,-24.15836524963379,6,85,11,89
fact_mismatch,1,253,12.70803451538086,6,1,11,6
rule_lhs_mismatch,1,254,11.941582679748535,6,1,11,6
consequent_swap,1,255,1.9121780395507812,82,1,11,82
entailed,0,256,-32.458927154541016,6,60,11,82
