family,heads,layers,seed,status,training_budget,width
proposition,1,1,11,planned,1,16
proposition,1,1,23,planned,1,16
proposition,1,1,37,planned,1,16
proposition,1,1,11,planned,2,16
proposition,1,1,23,planned,2,16
proposition,1,1,37,planned,2,16
proposition,1,1,11,planned,4,16
proposition,1,1,23,planned,4,16
proposition,1,1,37,planned,4,16
proposition,2,1,11,planned,1,16
proposition,2,1,23,planned,1,16
proposition,2,1,37,planned,1,16
proposition,2,1,11,planned,2,16
proposition,2,1,23,planned,2,16
proposition,2,1,37,planned,2,16
proposition,2,1,11,planned,4,16
proposition,2,1,23,planned,4,16
proposition,2,1,37,planned,4,16
proposition,4,1,11,planned,1,16
proposition,4,1,23,planned,1,16
proposition,4,1,37,planned,1,16
proposition,4,1,11,planned,2,16
proposition,4,1,23,planned,2,16
proposition,4,1,37,planned,2,16
proposition,4,1,11,planned,4,16
proposition,4,1,23,planned,4,16
proposition,4,1,37,planned,4,16
proposition,8,1,11,planned,1,16
proposition,8,1,23,planned,1,16
proposition,8,1,37,planned,1,16
proposition,8,1,11,planned,2,16
proposition,8,1,23,planned,2,16
proposition,8,1,37,planned,2,16
proposition,8,1,11,planned,4,16
proposition,8,1,23,planned,4,16
proposition,8,1,37,planned,4,16
proposition,1,1,11,planned,1,32
proposition,1,1,23,planned,1,32
proposition,1,1,37,planned,1,32
proposition,1,1,11,planned,2,32
proposition,1,1,23,planned,2,32
proposition,1,1,37,planned,2,32
proposition,1,1,11,planned,4,32
proposition,1,1,23,planned,4,32
proposition,1,1,37,planned,4,32
proposition,2,1,11,planned,1,32
proposition,2,1,23,planned,1,32
proposition,2,1,37,planned,1,32
proposition,2,1,11,planned,2,32
proposition,2,1,23,planned,2,32
proposition,2,1,37,planned,2,32
proposition,2,1,11,planned,4,32
proposition,2,1,23,planned,4,32
proposition,2,1,37,planned,4,32
proposition,4,1,11,planned,1,32
proposition,4,1,23,planned,1,32
proposition,4,1,37,planned,1,32
proposition,4,1,11,planned,2,32
proposition,4,1,23,planned,2,32
proposition,4,1,37,planned,2,32
proposition,4,1,11,planned,4,32
proposition,4,1,23,planned,4,32
proposition,4,1,37,planned,4,32
proposition,8,1,11,planned,1,32
proposition,8,1,23,planned,1,32
proposition,8,1,37,planned,1,32
proposition,8,1,11,planned,2,32
proposition,8,1,23,planned,2,32
proposition,8,1,37,planned,2,32
proposition,8,1,11,planned,4,32
proposition,8,1,23,planned,4,32
proposition,8,1,37,planned,4,32
proposition,1,1,11,planned,1,64
proposition,1,1,23,planned,1,64
proposition,1,1,37,planned,1,64
proposition,1,1,11,planned,2,64
proposition,1,1,23,planned,2,64
proposition,1,1,37,planned,2,64
proposition,1,1,11,planned,4,64
proposition,1,1,23,planned,4,64
proposition,1,1,37,planned,4,64
proposition,2,1,11,planned,1,64
proposition,2,1,23,planned,1,64
proposition,2,1,37,planned,1,64
proposition,2,1,11,planned,2,64
proposition,2,1,23,planned,2,64
proposition,2,1,37,planned,2,64
proposition,2,1,11,planned,4,64
proposition,2,1,23,planned,4,64
proposition,2,1,37,planned,4,64
proposition,4,1,11,planned,1,64
proposition,4,1,23,planned,1,64
proposition,4,1,37,planned,1,64
proposition,4,1,11,planned,2,64
proposition,4,1,23,planned,2,64
proposition,4,1,37,planned,2,64
proposition,4,1,11,planned,4,64
proposition,4,1,23,planned,4,64
proposition,4,1,37,planned,4,64
proposition,8,1,11,planned,1,64
proposition,8,1,23,planned,1,64
proposition,8,1,37,planned,1,64
proposition,8,1,11,planned,2,64
proposition,8,1,23,planned,2,64
proposition,8,1,37,planned,2,64
proposition,8,1,11,planned,4,64
proposition,8,1,23,planned,4,64
proposition,8,1,37,planned,4,64
proposition,1,1,11,planned,1,128
proposition,1,1,23,planned,1,128
proposition,1,1,37,planned,1,128
proposition,1,1,11,planned,2,128
proposition,1,1,23,planned,2,128
proposition,1,1,37,planned,2,128
proposition,1,1,11,planned,4,128
proposition,1,1,23,planned,4,128
proposition,1,1,37,planned,4,128
proposition,2,1,11,planned,1,128
proposition,2,1,23,planned,1,128
proposition,2,1,37,planned,1,128
proposition,2,1,11,planned,2,128
proposition,2,1,23,planned,2,128
proposition,2,1,37,planned,2,128
proposition,2,1,11,planned,4,128
proposition,2,1,23,planned,4,128
proposition,2,1,37,planned,4,128
proposition,4,1,11,planned,1,128
proposition,4,1,23,planned,1,128
proposition,4,1,37,planned,1,128
proposition,4,1,11,planned,2,128
proposition,4,1,23,planned,2,128
proposition,4,1,37,planned,2,128
proposition,4,1,11,planned,4,128
proposition,4,1,23,planned,4,128
proposition,4,1,37,planned,4,128
proposition,8,1,11,planned,1,128
proposition,8,1,23,planned,1,128
proposition,8,1,37,planned,1,128
