correct,example_id,failure_reason,label,model_seed,oracle_substitution,prediction,split,stage,target,target_margin,template,unrestricted_correct,unrestricted_prediction
1,F2:validation:558,,binding,37,22=19,19,validation,F2,19,8.98193359375,reversed_predicate_control,1,19
1,F2:validation:467,symbol_mismatch,failure,37,,28,validation,F2,28,11.428008556365967,reversed_predicate_control,1,28
1,F2:validation:257,symbol_mismatch,failure,37,,28,validation,F2,28,12.3154296875,canonical_predicate_control,1,28
1,F2:validation:633,symbol_mismatch,failure,37,,28,validation,F2,28,11.690011024475098,canonical_predicate_control,1,28
1,F2:validation:617,symbol_mismatch,failure,37,,28,validation,F2,28,6.193303108215332,reversed_functor_control,1,28
1,F2:validation:732,,binding,37,16=22,22,validation,F2,22,7.012027740478516,canonical_predicate_control,1,22
1,F2:validation:70,,binding,37,23=27,27,validation,F2,27,5.404025077819824,canonical_predicate_control,1,27
1,F2:validation:127,symbol_mismatch,failure,37,,28,validation,F2,28,13.732007503509521,reversed_functor_control,1,28
1,F2:validation:390,,binding,37,18=19,19,validation,F2,19,7.2061567306518555,canonical_functor_control,1,19
1,F2:validation:232,,binding,37,26=24,24,validation,F2,24,8.946904182434082,reversed_functor_control,1,24
1,F2:validation:593,symbol_mismatch,failure,37,,28,validation,F2,28,14.886492252349854,canonical_functor_control,1,28
1,F2:validation:395,symbol_mismatch,failure,37,,28,validation,F2,28,13.737972736358643,canonical_functor_control,1,28
1,F2:validation:284,,binding,37,17=26,26,validation,F2,26,8.3666410446167,reversed_predicate_control,1,26
1,F2:validation:650,,binding,37,16=17,17,validation,F2,17,6.621700286865234,reversed_predicate_control,1,17
1,F2:validation:133,symbol_mismatch,failure,37,,28,validation,F2,28,14.117247581481934,reversed_functor_control,1,28
1,F2:validation:726,,binding,37,24=19,19,validation,F2,19,6.839404106140137,canonical_predicate_control,1,19
1,F2:validation:695,symbol_mismatch,failure,37,,28,validation,F2,28,5.820869445800781,canonical_functor_control,1,28
1,F2:validation:84,,binding,37,27=22,22,validation,F2,22,6.906344413757324,reversed_predicate_control,1,22
1,F2:validation:80,,binding,37,22=20,20,validation,F2,20,6.772189140319824,reversed_predicate_control,1,20
1,F2:validation:728,,binding,37,23=20,20,validation,F2,20,6.879175186157227,canonical_predicate_control,1,20
1,F2:validation:208,,binding,37,20=24,24,validation,F2,24,9.922266006469727,canonical_functor_control,1,24
1,F2:validation:203,symbol_mismatch,failure,37,,28,validation,F2,28,13.935551643371582,canonical_functor_control,1,28
