step,current,target,prediction,correct,logit_margin,attention_probability,attention_probability_margin,sequence,case_id
1,R,STOP,STOP,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_R,0
1,A,R,R,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_A,1
2,R,STOP,STOP,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_A STATE_R,1
1,B,A,A,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_B,2
2,A,R,R,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_B STATE_A,2
3,R,STOP,STOP,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_B STATE_A STATE_R,2
1,C,B,B,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_C,3
2,B,A,A,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_C STATE_B,3
3,A,R,R,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_C STATE_B STATE_A,3
4,R,STOP,STOP,True,0.9999990997193113,0.9999992122543974,0.9999990997193113,MAP_R_STOP MAP_A_R MAP_B_A MAP_C_B STATE_C STATE_B STATE_A STATE_R,3
1,R,STOP,STOP,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_R,4
1,A,R,R,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_A,5
2,R,STOP,STOP,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_A STATE_R,5
1,C,A,A,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_C,6
2,A,R,R,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_C STATE_A,6
3,R,STOP,STOP,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_C STATE_A STATE_R,6
1,B,C,C,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_B,7
2,C,A,A,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_B STATE_C,7
3,A,R,R,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_B STATE_C STATE_A,7
4,R,STOP,STOP,True,0.9999990997193113,0.9999992122543974,0.9999990997193113,MAP_R_STOP MAP_A_R MAP_C_A MAP_B_C STATE_B STATE_C STATE_A STATE_R,7
1,R,STOP,STOP,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_R,8
1,B,R,R,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_B,9
2,R,STOP,STOP,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_B STATE_R,9
1,A,B,B,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_A,10
2,B,R,R,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_A STATE_B,10
3,R,STOP,STOP,True,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_A STATE_B STATE_R,10
1,C,A,A,True,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_C,11
2,A,B,B,True,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_R_STOP MAP_B_R MAP_A_B MAP_C_A STATE_C STATE_A,11
