binary_correct,binary_margin,correct,example_id,label,model_seed,namespace,prediction,split,stage,target,template
1,14.294764995574951,1,P0:validation:285,negative,37,va,61,validation,P0,61,double_negation
1,14.33395004272461,1,P0:validation:436,positive,37,va,60,validation,P0,60,conjunction_elimination
1,15.18088960647583,1,P0:validation:466,positive,37,va,60,validation,P0,60,conjunction_elimination
1,15.213021993637085,1,P0:validation:69,negative,37,va,61,validation,P0,61,double_negation
1,9.171756744384766,1,P0:validation:434,positive,37,va,60,validation,P0,60,disjunction_introduction
1,24.76479721069336,1,P0:validation:79,negative,37,va,61,validation,P0,61,conjunction_elimination
1,14.317728042602539,1,P0:validation:222,positive,37,va,60,validation,P0,60,double_negation
1,9.394356727600098,1,P0:validation:8,positive,37,va,60,validation,P0,60,disjunction_introduction
1,12.901790618896484,1,P0:validation:370,positive,37,va,60,validation,P0,60,conjunction_elimination
1,13.146440505981445,1,P0:validation:504,positive,37,va,60,validation,P0,60,double_negation
1,14.92666244506836,1,P0:validation:220,positive,37,va,60,validation,P0,60,conjunction_elimination
1,24.961583614349365,1,P0:validation:433,negative,37,va,61,validation,P0,61,conjunction_elimination
1,12.9176025390625,1,P0:validation:274,positive,37,va,60,validation,P0,60,conjunction_elimination
1,15.354214668273926,1,P0:validation:196,positive,37,va,60,validation,P0,60,conjunction_elimination
1,17.01221227645874,1,P0:validation:63,negative,37,va,61,validation,P0,61,double_negation
1,9.03114128112793,1,P0:validation:384,positive,37,va,60,validation,P0,60,double_negation
1,23.31539821624756,1,P0:validation:139,negative,37,va,61,validation,P0,61,conjunction_elimination
1,13.124313354492188,1,P0:validation:310,positive,37,va,60,validation,P0,60,conjunction_elimination
1,14.573805332183838,1,P0:validation:172,positive,37,va,60,validation,P0,60,conjunction_elimination
1,18.871781766414642,1,P0:validation:49,negative,37,va,61,validation,P0,61,conjunction_elimination
1,9.03114128112793,1,P0:validation:414,positive,37,va,60,validation,P0,60,double_negation
1,23.731279134750366,1,P0:validation:12,positive,37,va,60,validation,P0,60,double_negation
1,9.21995735168457,1,P0:validation:230,positive,37,va,60,validation,P0,60,disjunction_introduction
1,12.90652084350586,1,P0:validation:52,positive,37,va,60,validation,P0,60,conjunction_elimination
1,9.03114128112793,1,P0:validation:0,positive,37,va,60,validation,P0,60,double_negation
1,21.286851406097412,1,P0:validation:100,positive,37,va,60,validation,P0,60,conjunction_elimination
1,8.37225341796875,1,P0:validation:446,positive,37,va,60,validation,P0,60,disjunction_introduction
1,22.732534170150757,1,P0:validation:421,negative,37,va,61,validation,P0,61,conjunction_elimination
1,15.997981071472168,1,P0:validation:423,negative,37,va,61,validation,P0,61,double_negation
1,8.288156509399414,1,P0:validation:506,positive,37,va,60,validation,P0,60,disjunction_introduction
1,8.195269584655762,1,P0:validation:158,positive,37,va,60,validation,P0,60,disjunction_introduction
1,9.515739440917969,1,P0:validation:398,positive,37,va,60,validation,P0,60,disjunction_introduction
1,9.966959953308105,1,P0:validation:146,positive,37,va,60,validation,P0,60,disjunction_introduction
1,19.1525616645813,1,P0:validation:291,negative,37,va,61,validation,P0,61,double_negation
1,10.039711952209473,1,P0:validation:107,negative,37,va,61,validation,P0,61,disjunction_introduction
1,10.335143089294434,1,P0:validation:455,negative,37,va,61,validation,P0,61,disjunction_introduction
1,26.412540435791016,1,P0:validation:135,negative,37,va,61,validation,P0,61,double_negation
1,18.146057963371277,1,P0:validation:507,negative,37,va,61,validation,P0,61,double_negation
1,15.947977781295776,1,P0:validation:15,negative,37,va,61,validation,P0,61,double_negation
1,14.580254554748535,1,P0:validation:352,positive,37,va,60,validation,P0,60,conjunction_elimination
1,11.941564559936523,1,P0:validation:405,negative,37,va,61,validation,P0,61,double_negation
1,10.15737247467041,1,P0:validation:479,negative,37,va,61,validation,P0,61,disjunction_introduction
1,9.349484920501709,1,P0:validation:11,negative,37,va,61,validation,P0,61,disjunction_introduction
1,22.27950429916382,1,P0:validation:345,negative,37,va,61,validation,P0,61,double_negation
1,23.26374101638794,1,P0:validation:13,negative,37,va,61,validation,P0,61,conjunction_elimination
1,9.394356727600098,1,P0:validation:320,positive,37,va,60,validation,P0,60,disjunction_introduction
1,20.81202256679535,1,P0:validation:223,negative,37,va,61,validation,P0,61,conjunction_elimination
1,19.610090970993042,1,P0:validation:175,negative,37,va,61,validation,P0,61,conjunction_elimination
1,12.506803512573242,1,P0:validation:486,positive,37,va,60,validation,P0,60,double_negation
1,8.066800117492676,1,P0:validation:344,positive,37,va,60,validation,P0,60,disjunction_introduction
1,11.230325698852539,1,P0:validation:179,negative,37,va,61,validation,P0,61,disjunction_introduction
1,13.82125186920166,1,P0:validation:114,positive,37,va,60,validation,P0,60,double_negation
1,10.786406517028809,1,P0:validation:197,negative,37,va,61,validation,P0,61,disjunction_introduction
1,7.347067832946777,1,P0:validation:284,positive,37,va,60,validation,P0,60,disjunction_introduction
1,9.394356727600098,1,P0:validation:296,positive,37,va,60,validation,P0,60,disjunction_introduction
1,10.14611291885376,1,P0:validation:95,negative,37,va,61,validation,P0,61,disjunction_introduction
1,15.011235237121582,1,P0:validation:346,positive,37,va,60,validation,P0,60,conjunction_elimination
1,13.907488822937012,1,P0:validation:231,negative,37,va,61,validation,P0,61,double_negation
1,9.085651397705078,1,P0:validation:326,positive,37,va,60,validation,P0,60,disjunction_introduction
1,13.233067512512207,1,P0:validation:489,negative,37,va,61,validation,P0,61,double_negation
1,26.186117947101593,1,P0:validation:4,positive,37,va,60,validation,P0,60,conjunction_elimination
1,15.011235237121582,1,P0:validation:430,positive,37,va,60,validation,P0,60,conjunction_elimination
