binary_correct,binary_margin,correct,example_id,label,model_seed,namespace,prediction,split,stage,target,template
1,9.097871780395508,1,F0:validation:285,negative,37,va,61,validation,F0,61,predicate_mismatch
1,6.3563947677612305,1,F0:validation:436,positive,37,va,60,validation,F0,60,identity
1,8.806955337524414,1,F0:validation:466,positive,37,va,60,validation,F0,60,identity
1,10.545186996459961,1,F0:validation:69,negative,37,va,61,validation,F0,61,predicate_mismatch
1,8.676158428192139,1,F0:validation:434,positive,37,va,60,validation,F0,60,identity
1,18.10096764564514,1,F0:validation:79,negative,37,va,61,validation,F0,61,constant_mismatch
1,7.431314468383789,1,F0:validation:222,positive,37,va,60,validation,F0,60,identity
1,7.507848739624023,1,F0:validation:8,positive,37,va,60,validation,F0,60,identity
1,6.980327129364014,1,F0:validation:370,positive,37,va,60,validation,F0,60,identity
1,3.643935203552246,1,F0:validation:504,positive,37,va,60,validation,F0,60,identity
1,7.431314468383789,1,F0:validation:220,positive,37,va,60,validation,F0,60,identity
1,8.499516487121582,1,F0:validation:433,negative,37,va,61,validation,F0,61,predicate_mismatch
1,6.980327129364014,1,F0:validation:274,positive,37,va,60,validation,F0,60,identity
1,8.761032581329346,1,F0:validation:196,positive,37,va,60,validation,F0,60,identity
1,15.362358808517456,1,F0:validation:63,negative,37,va,61,validation,F0,61,constant_mismatch
1,7.430449485778809,1,F0:validation:384,positive,37,va,60,validation,F0,60,identity
1,14.3956778049469,1,F0:validation:139,negative,37,va,61,validation,F0,61,constant_mismatch
1,9.383234977722168,1,F0:validation:310,positive,37,va,60,validation,F0,60,identity
1,7.662247180938721,1,F0:validation:172,positive,37,va,60,validation,F0,60,identity
1,11.39897632598877,1,F0:validation:49,negative,37,va,61,validation,F0,61,predicate_mismatch
1,7.830255031585693,1,F0:validation:414,positive,37,va,60,validation,F0,60,identity
1,8.81694746017456,1,F0:validation:12,positive,37,va,60,validation,F0,60,identity
1,9.036521911621094,1,F0:validation:230,positive,37,va,60,validation,F0,60,identity
1,7.287361145019531,1,F0:validation:52,positive,37,va,60,validation,F0,60,identity
1,7.287361145019531,1,F0:validation:0,positive,37,va,60,validation,F0,60,identity
1,6.86033821105957,1,F0:validation:100,positive,37,va,60,validation,F0,60,identity
1,8.528966903686523,1,F0:validation:446,positive,37,va,60,validation,F0,60,identity
1,10.171531200408936,1,F0:validation:421,negative,37,va,61,validation,F0,61,predicate_mismatch
1,14.731060981750488,1,F0:validation:423,negative,37,va,61,validation,F0,61,constant_mismatch
1,8.210675716400146,1,F0:validation:506,positive,37,va,60,validation,F0,60,identity
1,7.217540740966797,1,F0:validation:158,positive,37,va,60,validation,F0,60,identity
1,8.448193550109863,1,F0:validation:398,positive,37,va,60,validation,F0,60,identity
1,8.71714735031128,1,F0:validation:146,positive,37,va,60,validation,F0,60,identity
1,17.776824831962585,1,F0:validation:291,negative,37,va,61,validation,F0,61,constant_mismatch
1,17.48793089389801,1,F0:validation:107,negative,37,va,61,validation,F0,61,constant_mismatch
1,2.329564094543457,1,F0:validation:455,negative,37,va,61,validation,F0,61,constant_mismatch
1,9.195090770721436,1,F0:validation:135,negative,37,va,61,validation,F0,61,constant_mismatch
