step,current,target,prediction,correct,winner_runner_up_margin,signed_target_margin,logit_margin,attention_probability,attention_probability_margin,sequence,case_id
1,A,B,B,True,0.9999994373243796,0.9999994373243796,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_A,0
2,B,C,C,True,0.9999993247893315,0.9999993247893315,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_A STATE_B,0
3,C,D,D,True,0.9999992122543088,0.9999992122543088,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_A STATE_B STATE_C,0
4,D,STOP,STOP,True,0.9999990997193113,0.9999990997193113,0.9999990997193113,0.9999992122543974,0.9999990997193113,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_A STATE_B STATE_C STATE_D,0
1,B,C,C,True,0.9999994373243796,0.9999994373243796,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_B,1
2,C,D,D,True,0.9999993247893315,0.9999993247893315,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_B STATE_C,1
3,D,STOP,STOP,True,0.9999992122543088,0.9999992122543088,0.9999992122543088,0.9999993247894075,0.9999992122543088,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_B STATE_C STATE_D,1
1,C,D,D,True,0.9999994373243796,0.9999994373243796,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_C,2
2,D,STOP,STOP,True,0.9999993247893315,0.9999993247893315,0.9999993247893315,0.999999437324443,0.9999993247893315,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_C STATE_D,2
1,D,STOP,STOP,True,0.9999994373243796,0.9999994373243796,0.9999994373243796,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_D,3
