correct,example_id,failure_reason,label,model_seed,oracle_substitution,prediction,split,stage,target,target_margin,template,unrestricted_correct,unrestricted_prediction
1,P2:validation:63,,modus_tollens:invalid,11,,61,validation,P2,61,20.355311691761017,mt_rule_direction,1,61
1,P2:validation:656,,contraposition:valid,11,,60,validation,P2,60,7.971010208129883,cp_consequent_polarity,1,60
1,P2:validation:121,,modus_tollens:invalid,11,,61,validation,P2,61,31.31834840774536,mt_fact_polarity,1,61
1,P2:validation:225,,contraposition:invalid,11,,61,validation,P2,61,15.857651710510254,cp_consequent_polarity,1,61
1,P2:validation:489,,contraposition:invalid,11,,61,validation,P2,61,26.63015341758728,cp_consequent_polarity,1,61
1,P2:validation:353,,modus_tollens:invalid,11,,61,validation,P2,61,31.78186559677124,mt_query_polarity,1,61
1,P2:validation:193,,modus_tollens:invalid,11,,61,validation,P2,61,29.996026515960693,mt_fact_polarity,1,61
1,P2:validation:593,,modus_tollens:invalid,11,,61,validation,P2,61,24.924626011401415,mt_query_polarity,1,61
1,P2:validation:546,,contraposition:valid,11,,60,validation,P2,60,17.24817419052124,cp_antecedent_polarity,1,60
1,P2:validation:180,,modus_tollens:valid,11,,60,validation,P2,60,10.28905200958252,mt_fact_polarity,1,60
1,P2:validation:669,,contraposition:invalid,11,,61,validation,P2,61,15.184747695922852,cp_consequent_polarity,1,61
1,P2:validation:528,,modus_tollens:valid,11,,60,validation,P2,60,10.28905200958252,mt_fact_polarity,1,60
1,P2:validation:111,,modus_tollens:invalid,11,,61,validation,P2,61,25.368178367614746,mt_rule_direction,1,61
1,P2:validation:766,,contraposition:valid,11,,60,validation,P2,60,19.88583731651306,cp_direction,1,60
1,P2:validation:95,,contraposition:invalid,11,,61,validation,P2,61,29.37657880783081,cp_direction,1,61
1,P2:validation:89,,modus_tollens:invalid,11,,61,validation,P2,61,32.31149864196777,mt_query_polarity,1,61
1,P2:validation:81,,contraposition:invalid,11,,61,validation,P2,61,25.95733666419983,cp_consequent_polarity,1,61
1,P2:validation:342,,contraposition:valid,11,,60,validation,P2,60,19.340752959251404,cp_antecedent_polarity,1,60
1,P2:validation:711,,modus_tollens:invalid,11,,61,validation,P2,61,19.52394437789917,mt_rule_direction,1,61
1,P2:validation:677,,modus_tollens:invalid,11,,61,validation,P2,61,30.13945436477661,mt_query_polarity,1,61
1,P2:validation:213,,contraposition:invalid,11,,61,validation,P2,61,14.297282218933105,cp_consequent_polarity,1,61
1,P2:validation:328,,modus_tollens:valid,11,,60,validation,P2,60,8.311153411865234,mt_query_polarity,1,60
1,P2:validation:9,,contraposition:invalid,11,,61,validation,P2,61,13.7355318069458,cp_consequent_polarity,1,61
1,P2:validation:341,,modus_tollens:invalid,11,,61,validation,P2,61,28.009381532669067,mt_query_polarity,1,61
1,P2:validation:80,,contraposition:valid,11,,60,validation,P2,60,15.362256526947021,cp_consequent_polarity,1,60
1,P2:validation:495,,modus_tollens:invalid,11,,61,validation,P2,61,10.379942893981934,mt_rule_direction,1,61
1,P2:validation:745,,modus_tollens:invalid,11,,61,validation,P2,61,31.335947036743164,mt_fact_polarity,1,61
