correct,example_id,label,model_seed,prediction,split,stage,target,target_margin,template,unrestricted_correct,unrestricted_prediction
1,F1:validation:471,binding,23,19,validation,F1,19,14.404723644256592,predicate_distractor,1,19
1,F1:validation:279,binding,23,19,validation,F1,19,12.710309028625488,predicate_distractor,1,19
1,F1:validation:350,binding,23,18,validation,F1,18,11.093408584594727,reversed,1,18
1,F1:validation:637,binding,23,17,validation,F1,17,12.42193603515625,reversed,1,17
1,F1:validation:27,binding,23,19,validation,F1,19,9.291202545166016,constant_distractor,1,19
1,F1:validation:597,binding,23,25,validation,F1,25,11.83018970489502,reversed,1,25
1,F1:validation:456,binding,23,16,validation,F1,16,13.181866645812988,constant_distractor,1,16
1,F1:validation:682,binding,23,26,validation,F1,26,13.322006225585938,canonical,1,26
1,F1:validation:738,binding,23,22,validation,F1,22,10.448102951049805,reversed,1,22
1,F1:validation:132,binding,23,16,validation,F1,16,10.847051620483398,predicate_distractor,1,16
1,F1:validation:702,binding,23,22,validation,F1,22,10.100255966186523,constant_distractor,1,22
1,F1:validation:661,binding,23,17,validation,F1,17,8.219918251037598,predicate_distractor,1,17
1,F1:validation:375,binding,23,19,validation,F1,19,11.206296443939209,predicate_distractor,1,19
1,F1:validation:407,binding,23,27,validation,F1,27,12.053196907043457,reversed,1,27
1,F1:validation:448,binding,23,20,validation,F1,20,13.406294822692871,reversed,1,20
1,F1:validation:90,binding,23,22,validation,F1,22,10.546180725097656,predicate_distractor,1,22
1,F1:validation:486,binding,23,22,validation,F1,22,10.760831832885742,canonical,1,22
1,F1:validation:36,binding,23,16,validation,F1,16,11.02283763885498,predicate_distractor,1,16
1,F1:validation:599,binding,23,27,validation,F1,27,10.903616905212402,reversed,1,27
1,F1:validation:650,binding,23,18,validation,F1,18,8.898128509521484,constant_distractor,1,18
1,F1:validation:536,binding,23,24,validation,F1,24,11.433102130889893,canonical,1,24
1,F1:validation:7,binding,23,23,validation,F1,23,12.431677341461182,canonical,1,23
1,F1:validation:479,binding,23,27,validation,F1,27,10.74958324432373,predicate_distractor,1,27
1,F1:validation:649,binding,23,17,validation,F1,17,9.568589687347412,constant_distractor,1,17
1,F1:validation:643,binding,23,23,validation,F1,23,13.582737922668457,reversed,1,23
1,F1:validation:614,binding,23,18,validation,F1,18,9.91402816772461,predicate_distractor,1,18
1,F1:validation:274,binding,23,26,validation,F1,26,10.506037712097168,constant_distractor,1,26
1,F1:validation:151,binding,23,23,validation,F1,23,11.31128215789795,canonical,1,23
1,F1:validation:727,binding,23,23,validation,F1,23,10.998327255249023,canonical,1,23
1,F1:validation:60,binding,23,16,validation,F1,16,11.741415023803711,reversed,1,16
1,F1:validation:272,binding,23,24,validation,F1,24,10.735817432403564,constant_distractor,1,24
1,F1:validation:494,binding,23,18,validation,F1,18,13.355712890625,reversed,1,18
1,F1:validation:164,binding,23,24,validation,F1,24,10.781096458435059,reversed,1,24
1,F1:validation:631,binding,23,23,validation,F1,23,11.028018951416016,canonical,1,23
1,F1:validation:341,binding,23,21,validation,F1,21,10.678216457366943,canonical,1,21
1,F1:validation:425,binding,23,21,validation,F1,21,11.030126571655273,predicate_distractor,1,21
1,F1:validation:62,binding,23,18,validation,F1,18,12.332064628601074,reversed,1,18
1,F1:validation:595,binding,23,23,validation,F1,23,13.153258323669434,reversed,1,23
1,F1:validation:492,binding,23,16,validation,F1,16,12.19499397277832,reversed,1,16
1,F1:validation:251,binding,23,27,validation,F1,27,11.208528518676758,canonical,1,27
1,F1:validation:231,binding,23,19,validation,F1,19,11.15614128112793,predicate_distractor,1,19
1,F1:validation:47,binding,23,27,validation,F1,27,12.701058387756348,predicate_distractor,1,27
1,F1:validation:517,binding,23,17,validation,F1,17,10.825409889221191,predicate_distractor,1,17
1,F1:validation:136,binding,23,20,validation,F1,20,13.017441749572754,predicate_distractor,1,20
1,F1:validation:706,binding,23,26,validation,F1,26,9.837970733642578,constant_distractor,1,26
1,F1:validation:157,binding,23,17,validation,F1,17,11.67825174331665,reversed,1,17
1,F1:validation:215,binding,23,27,validation,F1,27,10.643241882324219,reversed,1,27
1,F1:validation:361,binding,23,17,validation,F1,17,10.887210845947266,constant_distractor,1,17
1,F1:validation:150,binding,23,22,validation,F1,22,10.95313549041748,canonical,1,22
1,F1:validation:281,binding,23,21,validation,F1,21,12.644073963165283,predicate_distractor,1,21
