case_id,condition,start,context_order,target_trajectory,predicted_trajectory,correct,minimum_signed_target_margin
0,reversed,A,D;C;B;A,B C D STOP,B C D STOP,True,0.9999990997193113
0,fixed_shuffle,A,B;D;A;C,B C D STOP,B C D STOP,True,0.9999990997193113
1,reversed,B,D;C;B;A,C D STOP,C D STOP,True,0.9999992122543088
1,fixed_shuffle,B,B;D;A;C,C D STOP,C D STOP,True,0.9999992122543088
2,reversed,C,D;C;B;A,D STOP,D STOP,True,0.9999993247893315
2,fixed_shuffle,C,B;D;A;C,D STOP,D STOP,True,0.9999993247893315
3,reversed,D,D;C;B;A,STOP,STOP,True,0.9999994373243796
3,fixed_shuffle,D,B;D;A;C,STOP,STOP,True,0.9999994373243796
4,reversed,A,C;D;B;A,B D C STOP,B D C STOP,True,0.9999990997193113
4,fixed_shuffle,A,B;C;A;D,B D C STOP,B D C STOP,True,0.9999990997193113
5,reversed,B,C;D;B;A,D C STOP,D C STOP,True,0.9999992122543088
5,fixed_shuffle,B,B;C;A;D,D C STOP,D C STOP,True,0.9999992122543088
6,reversed,D,C;D;B;A,C STOP,C STOP,True,0.9999993247893315
6,fixed_shuffle,D,B;C;A;D,C STOP,C STOP,True,0.9999993247893315
7,reversed,C,C;D;B;A,STOP,STOP,True,0.9999994373243796
7,fixed_shuffle,C,B;C;A;D,STOP,STOP,True,0.9999994373243796
8,reversed,A,D;B;C;A,C B D STOP,C B D STOP,True,0.9999990997193113
8,fixed_shuffle,A,C;D;A;B,C B D STOP,C B D STOP,True,0.9999990997193113
9,reversed,C,D;B;C;A,B D STOP,B D STOP,True,0.9999992122543088
9,fixed_shuffle,C,C;D;A;B,B D STOP,B D STOP,True,0.9999992122543088
10,reversed,B,D;B;C;A,D STOP,D STOP,True,0.9999993247893315
10,fixed_shuffle,B,C;D;A;B,D STOP,D STOP,True,0.9999993247893315
11,reversed,D,D;B;C;A,STOP,STOP,True,0.9999994373243796
11,fixed_shuffle,D,C;D;A;B,STOP,STOP,True,0.9999994373243796
12,reversed,A,B;D;C;A,C D B STOP,C D B STOP,True,0.9999990997193113
12,fixed_shuffle,A,C;B;A;D,C D B STOP,C D B STOP,True,0.9999990997193113
13,reversed,C,B;D;C;A,D B STOP,D B STOP,True,0.9999992122543088
13,fixed_shuffle,C,C;B;A;D,D B STOP,D B STOP,True,0.9999992122543088
14,reversed,D,B;D;C;A,B STOP,B STOP,True,0.9999993247893315
14,fixed_shuffle,D,C;B;A;D,B STOP,B STOP,True,0.9999993247893315
15,reversed,B,B;D;C;A,STOP,STOP,True,0.9999994373243796
15,fixed_shuffle,B,C;B;A;D,STOP,STOP,True,0.9999994373243796
16,reversed,A,C;B;D;A,D B C STOP,D B C STOP,True,0.9999990997193113
16,fixed_shuffle,A,D;C;A;B,D B C STOP,D B C STOP,True,0.9999990997193113
17,reversed,D,C;B;D;A,B C STOP,B C STOP,True,0.9999992122543088
